,Location,2019 Population,2019 Rental Rates,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Crime Rate,Walk Score,Bike Score,Cost of Living Index,Livability Score
0,"Akron, Ohio",197597.0,678.0,1782.0,27.0,181.0,328.0,1246.0,6568.0,1686.0,4305.0,577.0,65.0,8484.440553247267,46,46,90.8,7972.779227752733
1,"Albany, New York",96460.0,1659.0,736.0,4.0,60.0,189.0,483.0,2919.0,445.0,2315.0,159.0,16.0,7594.857972216462,65,56,101.6,8902.161808783538
2,"Allentown, Pennsylvania",121442.0,1373.3333333333333,471.0,7.0,64.0,170.0,230.0,2782.0,521.0,2018.0,243.0,5.0,5361.407091451063,70,44,100.2,11127.212689548936
3,"Austin, Texas",978908.0,1598.5,3953.0,32.0,534.0,971.0,2416.0,36588.0,4344.0,29216.0,3028.0,103.0,8293.42491837843,41,54,107.69999999999992,8183.694862621561
4,"Bakersfield, California",384145.0,1340.0,1766.0,34.0,116.0,701.0,915.0,16074.0,3888.0,9277.0,2909.0,470.0,9410.509052571295,34,44,103.6,7045.510728428704
5,"Baltimore, Maryland",593490.0,1624.469387755102,11101.0,348.0,324.0,4856.0,5573.0,25748.0,5414.0,16395.0,3939.0,108.0,12435.929838750442,65,56,109.69999999999992,4069.189942249562
6,"Baton Rouge, Louisiana",220236.0,1251.0,2066.0,70.0,52.0,645.0,1299.0,11673.0,2258.0,8616.0,799.0,133.0,12537.00575746018,41,47,92.3,3917.71402353982
7,"Boulder, Colorado",105673.0,2069.285714285714,278.0,1.0,41.0,37.0,199.0,3284.0,405.0,2628.0,251.0,6.0,6747.229661313673,57,86,123.5,9793.690119686324
8,"Buffalo, New York",255284.0,1053.0,2533.0,47.0,121.0,802.0,1563.0,8298.0,1610.0,6009.0,679.0,143.0,8541.46754203162,68,65,97.9,7963.852238968382
9,"Charleston, South Carolina",137566.0,1559.9473684210527,516.0,8.0,51.0,95.0,362.0,3124.0,292.0,2335.0,497.0,7.0,5297.093758632221,40,52,103.70000000000003,11173.026022367783
10,"Chattanooga, Tennessee",182799.0,1345.0,1946.0,33.0,161.0,196.0,1556.0,10106.0,1098.0,7694.0,1314.0,25.0,13199.743981093989,29,35,92.6,3231.2757999060104
11,"Chicago, Illinois",2693976.0,1622.341463414634,25532.0,492.0,1761.0,7983.0,15296.0,80742.0,9578.0,62083.0,9081.0,416.0,7905.192919313324,77,73,102.0,8621.22686168668
12,"Cleveland, Ohio",381009.0,1123.5833333333333,5791.0,92.0,479.0,1895.0,3325.0,17057.0,4311.0,9968.0,2778.0,157.0,12034.623854029693,60,55,91.39999999999999,4446.195926970307
13,"Colorado Springs, Colorado",478221.0,1505.45,2806.0,23.0,431.0,485.0,1867.0,17587.0,2400.0,12095.0,3092.0,115.0,8552.740260256242,35,45,104.09999999999995,7905.7795207437575
14,"Columbia, South Carolina",131674.0,1128.6,1037.0,29.0,88.0,220.0,700.0,7027.0,916.0,5216.0,895.0,15.0,12259.823503501071,38,38,93.0,4183.596277498931
15,"Dayton, Ohio",140407.0,840.3333333333334,1351.0,48.0,200.0,347.0,756.0,5673.0,1533.0,3393.0,747.0,8.0,10010.896892605071,48,49,89.3,6449.8228883949305
16,"Daytona Beach, Florida",69186.0,1449.4666666666667,794.0,13.0,18.0,109.0,654.0,2833.0,380.0,2213.0,240.0,10.0,10499.23394906484,37,52,101.59999999999998,5965.785831935161
17,"Denver, Colorado",727211.0,1828.5,5459.0,67.0,713.0,1205.0,3474.0,27288.0,3967.0,18027.0,5294.0,107.0,9020.90314915479,61,73,115.0,7502.516631845211
18,"Des Moines, Iowa",214237.0,1121.3333333333333,1555.0,14.0,117.0,283.0,1141.0,8933.0,2284.0,5336.0,1313.0,53.0,9815.764783860865,45,42,93.3,6638.954997139135
19,"Detroit, Michigan",670031.0,1311.2608695652175,13040.0,275.0,952.0,2346.0,9467.0,28550.0,6820.0,14844.0,6886.0,789.0,12532.106723420256,53,55,93.5,3943.8130575797404
20,"El Paso, Texas",681728.0,990.2857142857143,2422.0,40.0,310.0,338.0,1734.0,10378.0,1048.0,8479.0,851.0,29.0,3759.4172455876833,41,42,89.60000000000001,12687.602535412314
21,"Fort Collins, Colorado",170243.0,1584.6666666666667,371.0,1.0,41.0,36.0,293.0,3713.0,350.0,3135.0,228.0,7.0,4801.959551934588,37,78,110.90000000000002,11698.360229065414
22,"Fort Myers, Florida",87103.0,1634.7058823529412,486.0,9.0,34.0,94.0,349.0,1952.0,245.0,1553.0,154.0,6.0,5604.858615661918,36,51,103.40000000000003,10859.961165338085
23,"Grand Rapids, Michigan",201013.0,1180.8,1286.0,8.0,144.0,274.0,860.0,3850.0,595.0,2754.0,501.0,35.0,5127.529065284335,57,53,94.3,11351.190715715664
24,"Greeley, Colorado",108649.0,1630.0,386.0,2.0,71.0,67.0,246.0,2542.0,338.0,1898.0,306.0,20.0,5408.241217130392,36,49,107.7,11058.87856386961
25,"Greenville, South Carolina",70635.0,1318.7,402.0,4.0,44.0,82.0,272.0,2805.0,352.0,2236.0,217.0,1.0,9081.89990797763,43,41,94.89999999999999,7371.419873022371
26,"Harrisburg, Pennsylvania",49271.0,1076.0,443.0,13.0,36.0,160.0,234.0,1069.0,229.0,728.0,112.0,13.0,6163.869213127397,74,58,97.6,10340.150567872603
27,"Hartford, Connecticut",122105.0,1212.2857142857142,1049.0,21.0,31.0,271.0,726.0,3424.0,427.0,2464.0,533.0,50.0,7367.429671184638,71,57,106.39999999999999,9141.390109815366
28,"Houston, Texas",2320268.0,1521.9733333333334,25257.0,275.0,1249.0,9147.0,14586.0,101750.0,17038.0,71614.0,13098.0,485.0,10968.517429883117,48,51,96.89999999999988,5501.802351116901
29,"Jacksonville, Florida",911507.0,1386.275,5886.0,129.0,554.0,1294.0,3909.0,30088.0,4906.0,22373.0,2809.0,82.0,7902.2980624394495,26,43,100.30000000000007,8541.421718560547
30,"Kansas City, Missouri",495327.0,1186.4074074074074,7099.0,150.0,347.0,1443.0,5159.0,19124.0,3070.0,12253.0,3801.0,160.0,10620.458808019755,35,35,92.8,5816.760972980246
31,"Knoxville, Tennessee",187603.0,1260.2857142857142,1259.0,22.0,146.0,232.0,859.0,8207.0,1157.0,6067.0,983.0,10.0,10096.853461831633,31,30,93.10000000000001,6331.6663191683665
32,"Lakeland, Florida",112136.0,1349.6,350.0,7.0,63.0,97.0,183.0,3230.0,438.0,2589.0,203.0,7.0,6391.346222444175,37,52,96.70000000000003,10068.773558555828
33,"Little Rock, Arkansas",197312.0,895.0,3009.0,38.0,209.0,391.0,2371.0,12145.0,1760.0,9316.0,1069.0,45.0,15383.250891988324,32,32,89.4,1044.568889011678
34,"Madison, Wisconsin",259680.0,1415.1666666666667,940.0,4.0,107.0,217.0,612.0,6464.0,1046.0,4873.0,545.0,9.0,5705.86876155268,48,65,101.7,10783.251019447322
35,"Melbourne, Florida",83029.0,1465.3157894736842,579.0,1.0,80.0,87.0,411.0,2802.0,439.0,2219.0,144.0,15.0,8162.208385022098,34,47,100.29999999999997,8293.5113959779
